exp_name,path,t,val,threshold,distillation,tied_weights,student_td,teacher_td
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__0.75.npy,1,81.18205074417759,0.75,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__0.5.npy,2,80.38948056771137,0.5,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__0.5.npy,3,81.2951084106399,0.5,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__0.5.npy,4,81.54158146094002,0.5,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__0.25.npy,6,61.07799057052775,0.25,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__0.5.npy,6,81.75641445326465,0.5,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__0.75.npy,0,63.23753029141369,0.75,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__0.5.npy,1,74.78854609300089,0.5,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__0.75.npy,4,86.60522500404528,0.75,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__0.5.npy,0,54.47692683479994,0.5,True,True,0.25,1.0
"tied StudentTD(0.25),TeacherTD(1.0)",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25__distill__TD_1.0/result__0.75.npy,6,86.72697319229276,0.75,True,True,0.25,1.0
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__0.1.npy,4,5.306638042704185,0.1,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__1.0.npy,1,3.962878773439322,1.0,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__0.1.npy,3,0.9062646675701789,0.1,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__0.1.npy,2,0.27466584944669026,0.1,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__0.1.npy,1,0.12947570927764523,0.1,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__1.0.npy,6,78.29147460813441,1.0,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__1.0.npy,7,76.90918222582943,1.0,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__0.1.npy,6,8.597197861733278,0.1,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__1.0.npy,5,74.43648395736786,1.0,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__1.0.npy,4,59.230377056862885,1.0,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__1.0.npy,3,15.87262910008443,1.0,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__0.1.npy,0,0.025612606948780203,0.1,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__0.1.npy,7,8.112798413245464,0.1,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__0.0.npy,2,0.0,0.0,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__0.0.npy,1,0.0,0.0,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__0.25.npy,2,1.8191957098849003,0.25,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__0.0.npy,3,0.0,0.0,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__0.0.npy,4,0.0,0.0,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__0.0.npy,5,0.0,0.0,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__1.0.npy,2,8.199552015230218,1.0,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__0.0.npy,7,0.0,0.0,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__0.25.npy,5,38.55062690292541,0.25,False,True,0.25,y
"tied StudentTD(0.25),y",/hdd/mliuzzolino/TDPoseEstimation/results/mpii_x8__TD_0.25/result__1.0.npy,0,2.5511956486965723,1.0,False,True,0.25,y
